feature,importance
precipitation_inches,0.035395637
max_temp_ema_7,0.02911137
min_temp_f,0.028641807
max_temp_ma_3,0.028059345
max_temp_ema_14,0.027331294
max_temp_lag_2,0.026852213
week_of_year,0.026758967
temp_mean,0.026478853
min_temp_diff_7,0.026321173
max_temp,0.02567006
min_temp_lag_2,0.025645586
max_temp_trend_14,0.025398787
max_temp_ma_7,0.02522696
min_temp_lag_1,0.025100026
min_temp_ma_7,0.02491655
max_temp_ma_30,0.024490451
precipitation_ma_7,0.0242217
min_temp_ma_14,0.024142731
max_temp_ma_14,0.023760052
max_temp_lag_1,0.023747224
min_temp_lag_7,0.023619773
max_temp_volatility_30,0.023541817
max_temp_diff_1,0.023437914
temp_range_ma_7,0.023400873
max_temp_diff_7,0.023142846
day_of_year,0.022388026
min_temp_diff_1,0.022299645
min_temp_volatility_7,0.022205662
precipitation_ma_3,0.022141596
max_temp_lag_7,0.022034612
min_temp_ma_3,0.021985546
target_low_temp_yes,0.02103792
precipitation,0.020801151
max_temp_volatility_7,0.020714317
temp_range,0.020687532
max_temp_trend_7,0.020058105
day_of_week,0.019059053
min_temp,0.019026095
max_temp_f,0.017803835
month,0.017015483
is_fall,0.016517242
is_winter,0.015553521
is_spring,0.014256616
had_precipitation,0.0
above_80F,0.0
below_20F,0.0
below_32F,0.0
heavy_precipitation,0.0
is_dry_day,0.0
above_90F,0.0
above_95F,0.0
is_rainy_day,0.0
max_temp_above_avg,0.0
min_temp_above_avg,0.0
quarter,0.0
is_summer,0.0
is_summer_vacation,0.0
above_98F,0.0
